name                                         | address                                                | email                          | phone              | opening_hours                                                                                  | latitude          | longitude
Beaver Brewing Company                       | Liechtensteinstraße 69, 1090 Wien, Österreich          | office@beaverbrewing.at        | +43 677 610 12253  | Mo-Th 16-0, Fr 16-1, Sa 10-1, Su 10-22                                                         | 48.2245931        | 16.3569675
Biodeli                                      | Gumpendorfer Str. 36, 1060 Wien, Österreich            | servus@biodeli.at              | +43 1 347 3335     | Mo-Fr 9-16                                                                                     | 48.1987291        | 16.3575349
Biodeli                                      | Otto-Bauer-Gasse 11, 1060 Wien, Österreich             | servus@biodeli.at              | +43 1 347 3335     | Mo-Fr 9-16                                                                                     | 48.1957689        | 16.3487646
Bio-Pizzeria Vero                            | Währinger Gürtel 162, 1090 Wien, Österreich            |                                | +43 1 310 1179     | Mo-Fr 11:30-14:30, Mo-Fr 17:30-22:30, Sa-Ft 11:30-22:30                                        | 48.230901         | 16.3525584
Bits and Bites                               | Webgasse 27, 1060 Wien, Österreich                     | office@bitsandbites.at         | +43 660 8372509    | We-Sa 18-22, We-Su 10-15                                                                       | 48.1945438        | 16.3458842
Black Dogs Coffee                            | Wallgasse 27, 1060 Wien, Österreich                    |                                | +43 664 536 6088   | Tu-Sa 9-12:30, Tu-Sa 17-22                                                                     | 48.1922288        | 16.3393213
Blün                                         | Schafflerhofstraße 156, 1220 Wien, Österreich          |                                | +43 1 7741333      |                                                                                                | 48.2281848        | 16.5364981
Botanical Garden                             | Kolingasse 1, 1090 Wien, Österreich                    |                                | +43 676 4422553    | Mo-Th 17-2, Fr 17-3, Sa 17-3                                                                   | 48.21553429999999 | 16.361423
Brasseria De La Marie                        | Amerlingstr. 15, 1060 Wien, Österreich                 |                                | +43 664 154 7737   | Mo-Fr 11-23, Sa 10-23:45                                                                       | 48.1974896        | 16.3505101
Brauwerk                                     | Ottakringer Pl. 1, 1160 Wien, Österreich               |                                | +43 1 491 005 480  |                                                                                                | 48.212931         | 16.3248221
Brut                                         | Karlsplatz 5, 1010 Wien, Österreich                    |                                | +43 1 5878774      |                                                                                                | 48.2006328        | 16.3720546
Buchcafè Melange                             | Reindorfgasse 42, 1150 Wien, Österreich                |                                | +43 677 619 705 28 | Tu-Fr 10-13, Tu-Fr 13:30-18:30, Sa 10-15                                                       | 48.1908533        | 16.3301859
Burg Kino                                    | Opernring 19, 1010 Wien, Österreich                    |                                | +43 1 5878406      |                                                                                                | 48.2030519        | 16.3650429
Buschenschank & Bioweinbau Obermann          | Cobenzlgasse 102, 1190 Wien, Österreich                |                                | +43 664 451 9927   | We-Fr 16-0, Sa 15-0, Su 13-0                                                                   | 48.2620386        | 16.332417
Café Caspar                                  | Grillparzerstr. 6, 1010 Wien, Österreich               | hallo@cafecaspar.com           | +43 1 957 6793     | Mo-Fr 11-23                                                                                    | 48.2126564        | 16.3581608
Café Comet / Fürth Kaffee                    | Kirchengasse 44, 1070 Wien, Austria                    |                                | +43 664 1303066    | Tu-Fr 9-18, Sa 10-17, Su 11-16                                                                 | 48.2044242        | 16.351686
Café Klitzeklein                             | Ausstellungsstraße 2, 1020 Wien, Österreich            |                                |                    |                                                                                                | 48.2179008        | 16.3952356
Café Zeitgenossin                            | Billrothstraße 18, 1190 Wien, Austria                  |                                | +43 699 1073 8865  | Mo 12-17:30, Tu-Fr 9:30-17:30                                                                  | 48.23639249999999 | 16.3494354
Café Z                                       | Meiselstr. 2, 1150 Wien, Österreich                    | office@cafe-z.at               | +43 680 308 7234   | Tu-Sa 10-22, Su 10-17                                                                          | 48.1974825        | 16.3232923
Corns N'Pops                                 | Gumpendorfer Str. 37, 1060 Wien, Österreich            |                                | +43 664 131 2005   | Mo-Fr 9-15:30                                                                                  | 48.1986689        | 16.3580129
Creme de la Creme                            | 76, Lange G., 1080 Wien, Österreich                    | hallo@cremedelacreme.at        | +43 660 283 3769   | Tu-Fr 9-18, Sa-Su 10-17                                                                        | 48.2144043        | 16.3511785
Cyberlab                                     | Schottenfeldgasse 51, 1070 Wien, Österreich            |                                | +43 1 522400400    | Mo-Fr 10-18:30                                                                                 | 48.202167         | 16.3430246
Das Lokal Im Hof                             | Weyringerg. 36, 1040 Wien, Österreich                  |                                | +43 1 971 1914     | Mo-Fr 11-23                                                                                    | 48.1883846        | 16.3742402
Deli Bluem                                   | Hamerlingpl. 2, 1080 Wien, Österreich                  |                                | +43 1 8900 449     | Mo-Fr 8-19, Sa-Su 9-18                                                                         | 48.211378         | 16.344551
Deli Bluem                                   | Laudongasse 17, 1080 Wien, Österreich                  |                                | +43 1 8900 449     | Mo-Fr 8-19, Sa-Su 9-18                                                                         | 48.213209         | 16.350719
Dialog im Dunkeln                            | Freyung 6, 1010 Wien, Österreich                       |                                | +43 1 8906060      | Tu-Fr 9-18, Sa 10-19, Su 13-19                                                                 | 48.21231          | 16.3643799
Die Buntique                                 | Kirchengasse 26, 1070 Wien, Österreich                 |                                | +43 664 75110469   |                                                                                                | 48.20167          | 16.3520428
Die Süsse                                    | Phorusgassse 8, 1040 Wien, Österreich                  |                                | +43 699 11419453   | Mo-Fr 10-18                                                                                    | 48.1901246        | 16.3638214
Donuteria                                    | Landstraßer Hauptstr. 71/G01, 1030 Wien, Österreich    |                                | +43 660 738 7264   | Mo-Fr 9-19, Sa 9-18                                                                            | 48.2012309        | 16.3934624
Dritte Mann Museum                           | Preßgasse 25, 1040 Wien, Österreich                    |                                | +43 1 5864872      | Sa 14-18                                                                                       | 48.1960993        | 16.3624638
Elefant & Castle                             | Neubaugasse 45, 1070 Wien, Österreich                  |                                | +43 699 192 08 459 | Mo-Fr 11:30-19:30                                                                              | 48.20258640000001 | 16.3489424
Fesch'Markt Wien                             | Ottakringer Str. 83, 1160 Wien, Österreich             |                                |                    |                                                                                                | 48.21303169999999 | 16.3250144
Gartenbaukino                                | Parkring 12, 1010 Wien, Österreich                     |                                | +43 1 5122354      | Mo-Su 17-23                                                                                    | 48.2056486        | 16.3783174
Hands Up                                     | Freyung 6, 1010 Wien, Österreich                       |                                | +43 1 3193701      |                                                                                                | 48.2123992        | 16.3644022
Hase und Igel                                | Theobaldgasse 16, 1060 Wien, Österreich                |                                | +43 1 971 6029     | Mo-Fr 11-20, Sa 11-18                                                                          | 48.2002855        | 16.3595533
Haus der Musik                               | Seilerstätte 30, 1010 Wien, Österreich                 |                                | +43 1 5134850      | Mo-Su 10-22                                                                                    | 48.2038401        | 16.3730192
Iko                                          | Wipplingerstr. 6, 1010 Wien, Österreich                |                                | +43 1 890 4200     | Mo-Fr 11-22, Sa 12-22                                                                          | 48.2117344        | 16.3713102
Jetzt Bar & Entertainment                    | Parhamerpl. 16, 1170 Wien, Österreich                  | info@dasjetzt.at               | +43 1 4857 680     | Mo-Th 18-3, Fr-Sa 18-4, Su 18-2                                                                | 48.2165786        | 16.3276148
J. Hornig Kaffebar                           | Siebensterngasse 29, 1070 Wien, Österreich             | kaffeebar@jhornig.at           | +43 1 522 2251     | Mo-Fr 7:30-19, Sa-Ft 9-19                                                                      | 48.20203919999999 | 16.3522683
Jonas Reindl Coffee                          | Währinger Str. 2-4, 1090 Wien, Österreich              |                                |                    | Mo-Fr 7:30-22, Sa 10-22                                                                        | 48.2149624        | 16.3617342
Kaffeefabrik                                 | Favoritenstraße 4, 1040 Wien, Österreich               |                                | +43 660 1789 092   | Mo-Fr 8-18, Sa 11-17                                                                           | 48.1958824        | 16.3684117
Kaffeemodul                                  | Josefstädter Str. 35, 1080 Wien, Österreich            |                                | +43 680 2228039    | Mo-Fr 7:30-17:30, Sa 10-14                                                                     | 48.2095175        | 16.348442
Kaffemik                                     | Zollergasse 5/2, 1070 Wien, Österreich                 |                                | +43 650 4141 535   | Mo-Fr 8-18, Sa 10-18, Su-Ft 12-18                                                              | 48.1991733        | 16.350998
Kartonage Kitchen                            | Burggasse 6-8, 1070 Wien, Österreich                   |                                | +43 660 6387346    | Mo-Fr 8-18:30                                                                                  | 48.2043708        | 16.3554785
Kauf Dich Glücklich                          | Kirchengasse 9, 1070 Wien, Österreich                  |                                | +43 1 9247755      | Mo-Fr 10-20, Sa 10-18                                                                          | 48.200681         | 16.3522777
Kunsthalle Wien                              | Museumsplatz 1, 1070 Wien, Österreich                  |                                | +43 1 521890       | Mo-We 11-19, Th 11-21, Fr-Su 11-19                                                             | 48.2026499        | 16.3591421
Kunst Haus Wien Museum Hundertwasser         | Untere Weißgerberstraße 13, 1030 Wien, Österreich      |                                | +43 1 7120491      | Mo-Su 10-18                                                                                    | 48.211074         | 16.393286
Leones Gelato                                | Lange Gasse 78, 1080 Wien, Österreich                  | ciao@leones.at                 | +43 1 352 5252     |                                                                                                | 48.21468309999999 | 16.3511642
Leones Gelato                                | Praterstr. 16, 1020 Wien, Österreich                   | ciao@leones.at                 | +43 1 352 5252     |                                                                                                | 48.2133617        | 16.3822807
Lingenhel                                    | Landstraßer Hauptstr. 74, 1030 Wien, Österreich        |                                | +43 1 710 1566     | Mo-Sa 8-22                                                                                     | 48.2009278        | 16.391988
Lunzers Mass-Greisslerei                     | Heinestr. 35, 1020 Wien, Österreich                    |                                | +43 1 212 1387     | Mo-Fr 9-19, Sa 9-17                                                                            | 48.2196131        | 16.3880717
Macaroom                                     | Landstraßer Hauptstr. 86, 1030 Wien, Österreich        |                                |                    | Tu-Fr 12-18, Sa 10-14                                                                          | 48.2000992        | 16.3930174
Mani                                         | Yppenplatz 153-155, 1160 Wien, Österreich              | welcome@mani-wien.at           | +43 1 402 4317     | Tu-Fr 15-23 Jul-Aug, Sa 9-23 Jul-Aug                                                           | 48.21344010000001 | 16.3358906
Metro Kinokulturhaus                         | Johannesgasse 4, 1010 Wien, Österreich                 |                                | +43 1 5121803      | Mo-Su 15-21                                                                                    | 48.2049288        | 16.3719383
Mumok                                        | Museumsplatz 1, 1070 Wien, Österreich                  |                                | +43 1 525000       | Mo 14-19, Tu 10-19, We 10-19, Th 10-21, Fr-Su 10-19                                            | 48.2037823        | 16.3578331
Nam Nam - Der Inder                          | Webgasse 3, 1060 Wien, Österreich                      | office@nam-nam.at              | +43 1 595 6127     | Tu-Su 11-14:30, Tu-Su 18-23                                                                    | 48.19239340000001 | 16.3481239
Österreichisches Filmmuseum                  | Augustinerstraße 1, 1010 Wien, Österreich              |                                | +43 1 5337054      |                                                                                                | 48.20487989999999 | 16.3684482
Ottakringer Brauerei                         | Ottakringer Pl. 1, 1160 Wien, Österreich               |                                | +43 1 491000       | Mo-Fr 9-17:30                                                                                  | 48.2125515        | 16.3243735
Phil                                         | Gumpendorfer Str. 10-12, 1060 Wien, Österreich         |                                | +43 1 581 0489     | Mo 17-1, Tu-Su 9-1                                                                             | 48.2002824        | 16.3611614
Pitawerk                                     | Mariahilferstr. 147, 1150 Wien, Österreich             |                                | +43 1 941 8190     | Mo-Fr 9-21, Sa-Ft 10-21                                                                        | 48.1943475        | 16.3359463
Polkadot Vienna                              | Albertgasse 12, 1080 Wien, Österreich                  |                                | +43 1 407 4125     | Mo-Th 19-2, Fr-Sa 20-4, Su 19-0                                                                | 48.2085441        | 16.3438194
Pygmalion Theater Wien                       | Alser Str. 43, 1080 Wien, Österreich                   |                                | +43 681 20754496   |                                                                                                | 48.2149702        | 16.3471596
Radio The Label Bar                          | Schottenfeldgasse 17, 1070 Wien, Österreich            |                                | +43 676 9363129    | Mo-Th 17-2, Fr 17-4, Sa 17-4                                                                   | 48.19837099999999 | 16.343331
RE:TREAT - Home for Yoga, Meditation & Vegan | Nelkengasse 6, Tür 14, 3. Stock, 1060 Wien, Österreich |                                |                    |                                                                                                | 48.19864399999999 | 16.351989
Sägewerk Wien                                | Währinger Str. 21, 1090 Wien, Österreich               |                                | +43 1 942 2489     | Mo-Su 11-2                                                                                     | 48.218772         | 16.357538
Sanfish                                      | Margaretenstraße 67, 1050 Wien, Österreich             |                                | +43 664 4138090    |                                                                                                | 48.1920145        | 16.3602976
Schachtelw!rt                                | Judengasse 5, 1010 Wien, Österreich                    |                                | +43 1 432 0707     | Tu-Fr 11:30-21, Sa 12-22                                                                       | 48.2114641        | 16.3735361
Schelato                                     | Lerchenfelderstr. 34, 1070 Wien, Österreich            | info@schelato.at               |                    | Mo-Su 12-22 Jul-Sep                                                                            | 48.20646190000001 | 16.3502846
Schelato                                     | Schleifmühlgasse 11, 1040 Wien, Österreich             | info@schelato.at               |                    | Mo-Su 12-22 Jul-Sep                                                                            | 48.1971518        | 16.3652054
Schikaneder Kino                             | Margaretenstraße 22-24, 1040 Wien, Österreich          |                                | +43 1 5852867      | Mo-Su 18-0                                                                                     | 48.1967562        | 16.3651328
Schokomuseum                                 | Willendorfer G. 2, 1230 Wien, Österreich               |                                | +43 1 667211019    | Mo-Sa 9-16                                                                                     | 48.1510802        | 16.3326236
Schrittesser Speck&Bar                       | Reichsratstr. 11, 1010 Wien, Österreich                |                                | +43 1 890 6146     | Mo-Fr 12-0, Sa 18-0                                                                            | 48.2127553        | 16.3586973
S'Frische - Das fitte Bistro                 | Alser Str. 19, 1080 Wien, Österreich                   |                                | +43 676 905 3520   | Mo-Fr 7-18, Sa 9-13                                                                            | 48.2147544        | 16.3518641
Shoyu Ramen                                  | Seilerstätte 10, 1010 Wien, Österreich                 |                                | +43 1 941 5018     | Mo-Sa 11:30-22                                                                                 | 48.2058159        | 16.3757767
Simply Raw Bakery                            | Drahtgasse 2, 1010 Wien, Österreich                    |                                | +43 677 62469124   | Mo-Sa 9-18                                                                                     | 48.2114497        | 16.3689125
Sophort                                      | Türkenstraße 23, 1090 Wien, Österreich                 |                                | +43 676 7735872    |                                                                                                | 48.218007         | 16.364246
Stadtkino im Künstlerhaus                    | Akademiestr. 13, 1010 Wien, Österreich                 |                                | +43 1 7126276      |                                                                                                | 48.2009524        | 16.3712387
Tag                                          | Gumpendorfer Str. 67, 1060 Wien, Österreich            |                                | +43 1 5865222      |                                                                                                | 48.1954436        | 16.351336
Tapete                                       | Zentagasse 14, 1050 Wien, Österreich                   | office@tapete.bar              | +43 19664 346      | Tu-Th 18-0, Su 18-0, Fr-Sa 18-2                                                                | 48.1869603        | 16.3601802
Theater Akzent                               | Theresianumgasse 18, 1040 Wien, Österreich             |                                | +43 1 5016513306   | Mo-Sa 13-18                                                                                    | 48.1923268        | 16.3749978
Theater im Zentrum                           | Liliengasse 3, 1010 Wien, Österreich                   |                                | +43 1 521100       |                                                                                                | 48.2071025        | 16.3729654
The Loft                                     | Lerchenfelder Gürtel 37, 1160 Wien, Österreich         |                                | +43 1 9477619      | Fr-Sa 20-4                                                                                     | 48.2088385        | 16.3381239
The Room - Sofiensäle                        | Marxergasse 17, 1030 Wien, Österreich                  |                                | +43 1 710 5577     | Mo-Fr 11:30-0, Sa 10-0, Su 10-16                                                               | 48.20667299999999 | 16.3910562
Toma Tu Tiempo                               | Zieglergasse 44, 1070 Wien, Österreich                 |                                | +43 660 447 7069   | Mo 17-23, Tu-We 12-23, Th-Fr 12-0, Sa 11-0, Su 11-22                                           | 48.2023445        | 16.3452483
Top Kino                                     | Rahlgasse 1, 1060 Wien, Österreich                     | office@topkino.at              | +43 1 208 3000     | Mo-We 11-2, Th-Sa 11-4, Su 10:30-0                                                             | 48.2012244        | 16.361548
Viadukt Screen Prints                        | Gumpendorfer Str. 132, 1060 Wien, Österreich           |                                | +43 664 9595714    |                                                                                                | 48.1906295        | 16.340484
Volkskundemuseum Wien                        | Laudongasse 15–19, 1080 Wien, Österreich               |                                | +43 1 4068905      | Tu-Su 10-17, Th 10-20                                                                          | 48.213209         | 16.350919
Volkstheater                                 | Arthur-Schnitzler-Platz 1, 1070 Wien, Österreich       |                                | +43 1 521110       |                                                                                                | 48.2052266        | 16.357045
Weingut & Heuriger Christ                    | Amtsstr. 10-14, 1210 Wien, Österreich                  |                                | +43 1 292 5152     | Mo-Su 15-0 Jan, Mo-Su 15-0 Mar, Mo-Su 15-0 May, Mo-Su 15-0 Jul, Mo-Su 15-0 Sep, Mo-Su 15-0 Nov | 48.2780059        | 16.4070448
Werk                                         | Spittelauer Lände 12, 1090 Wien, Österreich            |                                |                    |                                                                                                | 48.233785         | 16.360638
Werk X                                       | Oswaldgasse 35A, 1120 Wien, Österreich                 |                                | +43 1 9626110      |                                                                                                | 48.1660499        | 16.3250717
Wiener Riesenrad                             | Riesenradplatz 1, 1022 Wien, Österreich                |                                | +43 1 7295430      |                                                                                                | 48.2175095        | 16.3966444
Wienführung                                  | Reisnerstraße 59, 1030 Wien, Österreich                |                                | +43 676 9227773    |                                                                                                | 48.1959889        | 16.383793
Wrapstars                                    | Popovweg 8, 1100 Wien, Österreich                      |                                | +43 664 247 3263   |                                                                                                | 48.154027         | 16.4028146
WUK Werkstätten und Kulturhaus               | Währinger Str. 59, 1090 Wien, Österreich               |                                | +43 1 401210       |                                                                                                | 48.2232158        | 16.3514935
Zuppa                                        | Schwarszpanierstr. 22, 1090 Wien, Österreich           |                                | +43 1 405 8500     | Mo-Th 8-17, Fr 8-16                                                                            | 48.2170263        | 16.3590272
Zur Herknerin                                | Wiedner Hauptstr. 36, 1040 Wien, Österreich            |                                | +43 699 1522 0522  | Tu-Fr 17-23                                                                                    | 48.19506819999999 | 16.3668034
